left_id,right_id,label,id
581,17384,0,0
1502,3825,0,1
337,20538,0,2
53,13427,0,3
1560,3823,0,4
2019,18973,0,5
2422,1257,0,6
155,3446,1,7
261,5192,1,8
25,12,0,9
483,1149,0,10
376,9389,1,11
1564,12948,0,12
23,19216,0,13
417,17561,0,14
1241,18557,0,15
1424,11809,0,16
1532,14949,0,17
978,19689,0,18
576,18443,0,19
99,14509,0,20
1136,18198,0,21
753,8205,0,22
2251,14404,0,23
700,17837,0,24
284,2675,1,25
725,18405,0,26
2475,15249,0,27
1605,17203,0,28
887,4725,0,29
967,18152,0,30
1070,2487,0,31
1178,17561,0,32
2363,21870,0,33
1531,17126,0,34
462,6745,0,35
1979,12918,0,36
934,7701,0,37
2525,3683,0,38
1952,7748,0,39
561,19011,0,40
2253,1302,0,41
6,12999,0,42
1443,12276,0,43
2224,10744,0,44
2090,19908,0,45
2133,5374,0,46
978,2340,0,47
2115,21933,0,48
1513,5543,0,49
1363,11757,0,50
444,18601,0,51
2546,17381,0,52
2430,14687,0,53
2305,5249,0,54
1816,9056,0,55
1689,7512,0,56
673,15183,0,57
1192,6608,0,58
2433,17845,0,59
1069,15015,0,60
1761,6603,0,61
2210,16870,0,62
1454,6767,0,63
1205,8312,0,64
1792,10466,0,65
144,9986,0,66
1162,16958,0,67
852,20429,0,68
215,10599,0,69
693,18678,0,70
1963,1019,0,71
2549,18325,0,72
2487,19713,0,73
2472,8791,0,74
2018,20646,0,75
278,17506,0,76
2082,4739,0,77
2548,18724,0,78
896,10529,0,79
2089,683,0,80
65,1172,0,81
2088,17263,1,82
967,17837,0,83
16,15183,0,84
1454,5936,0,85
920,3246,1,86
742,12764,0,87
678,8962,1,88
497,16327,0,89
547,15266,0,90
1269,15877,0,91
8,10248,0,92
195,9264,0,93
967,18153,0,94
672,12918,0,95
1934,1584,0,96
81,20177,0,97
312,13298,0,98
2471,8786,0,99
2229,2872,0,100
1206,20035,0,101
1530,19350,0,102
1825,14124,0,103
2431,21935,0,104
67,114,0,105
1067,16597,0,106
2019,18077,0,107
1850,17841,0,108
1217,5249,1,109
41,2881,0,110
305,3320,0,111
2230,12949,1,112
2166,12194,0,113
25,14931,0,114
1699,16518,0,115
255,2964,0,116
2305,3099,0,117
1090,17550,0,118
1342,1338,0,119
1465,2872,0,120
2430,6743,0,121
719,6972,1,122
679,13325,0,123
582,8235,0,124
2504,6740,0,125
2220,20715,0,126
324,6458,0,127
2305,15216,0,128
528,15197,0,129
56,14402,0,130
2260,16460,0,131
2515,4424,1,132
1701,14065,0,133
1257,6750,0,134
2365,22058,0,135
576,12474,0,136
417,17837,0,137
2361,6750,0,138
2297,10745,0,139
378,16907,0,140
1535,18999,1,141
565,20075,0,142
2349,21423,0,143
708,13094,0,144
2517,8764,0,145
678,2999,0,146
975,11438,0,147
615,12450,0,148
678,20733,0,149
1863,2842,0,150
2020,806,0,151
889,10725,0,152
1688,16431,0,153
1298,19922,0,154
697,17562,0,155
2149,10786,0,156
1242,3140,0,157
722,12494,0,158
2055,21962,0,159
218,1089,0,160
1809,20067,0,161
1435,20813,0,162
818,6917,0,163
2332,9734,0,164
1570,14952,0,165
1405,6997,0,166
1511,4526,0,167
1607,13172,1,168
737,2262,0,169
1246,10334,0,170
2349,8252,0,171
208,12738,0,172
1432,15919,0,173
1506,17571,0,174
2436,6692,0,175
2116,12600,0,176
2430,17837,0,177
794,6139,0,178
280,16910,0,179
565,651,0,180
2216,5771,0,181
2253,11265,1,182
932,20657,0,183
65,13852,0,184
219,12693,0,185
397,4862,0,186
2461,7244,0,187
2230,12450,0,188
2237,20493,0,189
248,1688,0,190
29,6033,0,191
739,11687,1,192
896,4855,0,193
1342,21065,0,194
1349,4659,1,195
753,1595,0,196
382,18644,0,197
1016,20224,0,198
2484,5383,0,199
2305,4469,0,200
2424,15449,0,201
1169,9327,0,202
1796,6590,0,203
2160,9858,1,204
918,6137,0,205
2116,12589,0,206
878,998,0,207
1850,4883,0,208
2323,16958,0,209
2091,11566,0,210
621,698,0,211
137,19728,0,212
2471,21811,0,213
1060,13427,0,214
1191,9441,0,215
2457,17144,0,216
2305,21369,0,217
2069,2622,0,218
2297,11014,0,219
671,16444,0,220
1145,10786,0,221
1296,13427,0,222
2283,1733,0,223
509,5740,0,224
1382,8605,0,225
2293,10546,0,226
456,10915,0,227
1657,16332,1,228
2405,12,0,229
618,19655,0,230
2508,11582,1,231
81,16605,0,232
2351,20785,0,233
2193,9730,1,234
1531,3072,0,235
944,21757,0,236
1296,14687,0,237
747,13170,0,238
337,19585,0,239
1699,18399,0,240
2201,7699,0,241
790,1904,0,242
399,19744,0,243
320,8795,0,244
348,1189,0,245
1271,13293,0,246
25,6983,0,247
1511,4520,0,248
1316,5930,0,249
149,8939,0,250
1712,18007,0,251
1502,14348,0,252
315,7699,0,253
1367,5637,0,254
1984,9928,0,255
32,2820,0,256
2424,3505,0,257
1211,242,0,258
56,8868,0,259
1284,1338,0,260
2101,3885,0,261
2305,3276,0,262
2472,806,0,263
1408,20253,0,264
1536,14015,0,265
625,17837,0,266
1120,17504,0,267
1559,17636,0,268
1257,19011,0,269
162,18349,0,270
1959,4728,0,271
2126,21494,0,272
2405,20448,0,273
525,14462,0,274
398,16514,1,275
2389,17892,0,276
399,2708,0,277
2510,11287,0,278
1605,21693,0,279
2394,13252,0,280
1704,16231,1,281
732,17636,0,282
1959,801,0,283
572,4643,0,284
1260,19809,0,285
2389,2818,0,286
2389,805,0,287
2297,4739,0,288
1719,7246,0,289
672,14822,0,290
755,11851,0,291
2541,14698,0,292
215,20664,0,293
820,7079,0,294
99,14506,0,295
305,14227,0,296
595,14869,1,297
131,1150,0,298
428,5118,0,299
2237,7482,0,300
2119,683,0,301
95,8669,0,302
1103,14719,0,303
705,12896,0,304
988,18787,0,305
1007,19065,0,306
2341,9089,0,307
1877,2927,1,308
2264,14656,0,309
889,19565,0,310
1934,1585,0,311
1121,11696,0,312
821,10528,0,313
239,12651,0,314
1631,7141,0,315
1868,4494,1,316
740,5293,0,317
2082,11014,0,318
2107,4292,0,319
244,9288,0,320
1927,2949,0,321
700,18443,0,322
742,2793,0,323
1246,3682,0,324
1508,18647,0,325
883,10986,0,326
1373,6808,0,327
934,13148,1,328
1241,20224,0,329
1413,8763,0,330
2018,19344,0,331
1125,8267,1,332
2439,10806,0,333
2546,17184,0,334
1888,10727,0,335
1418,335,0,336
626,6743,0,337
1316,9990,0,338
2128,17144,0,339
1888,4711,0,340
1169,9325,0,341
2159,17899,1,342
1875,13348,0,343
1761,21432,0,344
828,6908,0,345
2293,635,0,346
1959,9734,0,347
1851,7385,0,348
702,11013,0,349
2332,14687,0,350
821,609,0,351
889,8763,0,352
853,7686,0,353
944,8245,0,354
123,9162,0,355
634,928,0,356
561,820,0,357
1247,7564,0,358
2349,2809,0,359
1927,3098,0,360
50,2013,0,361
693,17702,0,362
53,4728,0,363
557,13220,0,364
594,20843,1,365
1296,19283,0,366
1077,11884,1,367
2430,16333,0,368
1429,10077,0,369
1784,11403,1,370
175,6876,0,371
512,10588,0,372
2033,6562,0,373
219,2725,0,374
65,11130,0,375
1454,19570,0,376
967,14707,0,377
2242,16750,0,378
448,13174,0,379
195,21109,0,380
2305,10515,1,381
2139,101,1,382
2472,805,0,383
1502,2613,0,384
1067,9064,0,385
500,587,0,386
1932,9095,1,387
1103,15763,0,388
1425,10754,0,389
1701,3532,0,390
2260,21498,0,391
537,790,1,392
786,12785,0,393
101,622,0,394
2472,16608,0,395
514,14881,1,396
429,11241,0,397
186,1929,0,398
740,17812,0,399
1688,16699,0,400
1699,18048,0,401
1672,19690,0,402
678,6938,0,403
2481,15534,0,404
519,14264,0,405
1571,4739,0,406
102,7764,0,407
2394,4019,0,408
1630,4836,0,409
1879,8607,0,410
1931,14587,0,411
1066,12284,0,412
1802,15678,0,413
1067,4725,0,414
417,801,0,415
1438,7441,0,416
998,13256,0,417
2077,11226,0,418
1600,6444,0,419
1656,10728,0,420
305,5266,0,421
1154,7259,0,422
2000,4232,0,423
226,2943,0,424
99,6552,0,425
1560,19964,0,426
1354,18778,0,427
2422,7225,0,428
1251,3580,0,429
1316,13913,0,430
532,6032,0,431
1098,11745,0,432
2260,20247,0,433
1927,21952,0,434
2541,1306,0,435
64,2299,0,436
2349,14177,0,437
2332,18507,0,438
918,8099,0,439
1931,15249,0,440
13,7532,0,441
1809,16909,0,442
1893,13849,0,443
1530,16938,0,444
179,7721,0,445
1882,7904,0,446
896,14737,0,447
2538,21292,0,448
626,304,0,449
1091,10988,0,450
1809,17506,0,451
448,13173,1,452
864,5880,0,453
2418,7679,1,454
700,806,0,455
104,3583,0,456
1429,4048,0,457
2535,14177,0,458
284,14570,0,459
599,549,0,460
1016,18556,0,461
528,15198,0,462
751,3527,0,463
1296,18443,0,464
838,8687,0,465
458,15292,0,466
2263,14903,0,467
2462,8175,1,468
294,15485,0,469
79,13520,0,470
2341,15015,0,471
1720,20799,0,472
722,12496,0,473
618,6382,0,474
382,12586,0,475
469,18656,0,476
211,6270,0,477
2389,18443,0,478
1365,14487,0,479
2337,1384,0,480
2231,17839,1,481
467,18785,0,482
625,21693,0,483
101,2588,0,484
2349,206,0,485
266,6381,0,486
2517,14668,0,487
2322,8451,0,488
366,21964,0,489
339,7584,0,490
935,929,0,491
571,15299,0,492
429,7263,0,493
661,625,0,494
458,13307,0,495
244,6742,0,496
99,14511,0,497
700,286,0,498
1594,3901,0,499
2389,13427,0,500
195,6337,0,501
1295,510,0,502
792,12866,0,503
1284,5266,0,504
1564,12950,0,505
1776,15489,1,506
1525,8562,0,507
1342,9327,0,508
967,18443,0,509
1010,1096,0,510
2409,11714,1,511
2063,5068,0,512
65,3177,0,513
2220,12781,0,514
95,18732,0,515
2142,13934,1,516
757,12382,0,517
176,1284,0,518
1999,9557,0,519
856,17506,0,520
2405,13009,0,521
681,4619,0,522
280,17184,0,523
1688,18184,0,524
2391,11013,0,525
2504,18153,0,526
1440,12635,0,527
669,12490,1,528
1673,15262,0,529
531,8697,0,530
1796,20076,0,531
176,14736,0,532
1403,8024,0,533
466,17186,0,534
1269,7953,0,535
466,16597,0,536
2265,21530,0,537
1827,2581,0,538
15,4282,1,539
1282,4376,0,540
1850,16323,0,541
1681,21603,0,542
2430,805,0,543
2196,17366,1,544
559,20713,1,545
640,18863,0,546
1686,19624,0,547
2507,11049,0,548
904,18760,0,549
226,5311,0,550
1656,12766,0,551
1519,20211,0,552
1129,12649,0,553
1809,19780,0,554
742,2789,0,555
2149,873,0,556
2343,1609,0,557
1285,20080,0,558
2002,6980,0,559
399,713,1,560
29,15994,0,561
2082,6749,0,562
95,6983,0,563
1608,11490,0,564
636,20343,0,565
625,20429,0,566
2538,206,0,567
2472,6743,0,568
1348,3244,0,569
900,14328,0,570
1851,12453,0,571
1796,6587,0,572
1172,16647,0,573
1813,1607,1,574
1229,5842,1,575
1257,13427,0,576
1363,7758,0,577
50,16936,0,578
1545,21374,1,579
1283,12522,0,580
356,9141,0,581
2342,6559,0,582
1067,9063,0,583
925,2262,0,584
1661,2482,0,585
1977,13020,0,586
465,15263,0,587
1708,17400,0,588
1342,9323,0,589
944,2516,0,590
1536,7206,0,591
1151,18330,1,592
397,4859,0,593
2507,5038,1,594
2389,18200,0,595
