Dataset,Model,optimal lambda,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
Walmart-Amazon,LinReg,0.964824120603015,0.07807219662058489,0.07807219662058489,0.03234024437606496,0.034042362501120305,0.08218125960061445,0.08218125960061445,0.9536359199609565,0.9776536312849162,0.9513368983957219,0.6735395189003437,0.6,0.6761565836298933,0.034042362501120305,0.08218125960061445,0.08218125960061445,0.9536359199609565,0.9776536312849162,0.9513368983957219,0.6735395189003437,0.6,0.6761565836298933,0.7538860103626943,0.7142857142857143,0.7553763440860215,0.0410906298003072
Fodors-Zagat,SVM,1.0,0.0319821428571426,0.04234103641456629,0.040587406015037464,0.03759398496240601,0.0849089635854342,0.0892857142857143,0.9576719576719577,0.9642857142857143,0.9548872180451128,0.8181818181818182,0.875,0.7857142857142857,0.029135338345864667,0.0535714285714286,0.0535714285714286,0.9523809523809523,0.9464285714285714,0.9548872180451128,0.7428571428571429,0.7692307692307693,0.7272727272727273,0.9942841589548176,0.9947916666666667,0.9933973589435774,0.0013943077230893497
Amazon-Google,SVM,0.005025125628140704,0.029785550458715622,0.032916993709657554,0.006891179100591978,0.00776483638380477,0.04048273666541256,0.03669724770642202,0.8988225032708242,0.9673469387755103,0.8801996672212978,0.06451612903225806,0.0,0.06896551724137931,0.0011092623405435386,0.009174311926605505,0.009174311926605505,0.8988225032708242,0.9673469387755103,0.8801996672212978,0.01694915254237288,0.0,0.01818181818181818,0.8271192139574848,0.8097310126582278,0.8249413943796489,0.015210381721421085
Fodors-Zagat,EMTransformer,0.0,0.0,0.0,0.030824009324009877,0.03088578088578088,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03088578088578088,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DBLP-ACM,HierGAT,0.7487437185929648,0.008059242594675699,0.009249623892539444,0.044618543076077044,0.04356186821940247,0.007502426162872444,0.007999000124984446,0.9943388596845936,0.9931506849315068,0.9945945945945946,0.9843400447427293,0.9763779527559056,0.9856584093872229,0.0459885788652912,0.019227267087381872,0.018622672165979237,0.9967650626769107,0.9954337899543378,0.9970515970515971,0.9909297052154195,0.9838709677419355,0.9920844327176781,0.9999123075761813,0.9998730158730159,0.9999158962445294,4.288037151345403e-05
Beer,LinReg,0.964824120603015,0.15833333333333305,0.34833333333333677,0.2623809523809483,0.27619047619047615,0.3666666666666667,0.16666666666666663,0.9010989010989011,0.9428571428571428,0.7619047619047619,0.64,0.6666666666666666,0.6153846153846154,0.27619047619047615,0.3666666666666667,0.16666666666666663,0.9010989010989011,0.9428571428571428,0.7619047619047619,0.64,0.6666666666666666,0.6153846153846154,0.7662337662337662,0.75,0.7333333333333333,0.01666666666666672
Walmart-Amazon,HierMatcher,0.0,0.1198746253746253,0.12075758076342705,0.021480824246095882,0.022936860527732902,0.12947803907150823,0.12887112887112884,0.9604685212298683,0.9739583333333334,0.959073774905762,0.7896103896103897,0.8,0.7888888888888889,0.0317548465266559,0.04353020114214157,0.036963036963037044,0.9551000488042948,0.9739583333333334,0.9531502423263328,0.7088607594936709,0.7058823529411765,0.7090301003344481,0.9406378417009112,0.9899547965846308,0.9378645235361653,0.052090273048465474
Fodors-Zagat,LogReg,0.10552763819095477,0.013214285714285724,0.016685049019607847,0.0357152255639096,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027255639097744366,0.0535714285714286,0.0535714285714286,0.9894179894179894,0.9821428571428571,0.9924812030075187,0.9523809523809523,0.9333333333333333,0.9629629629629629,1.0,1.0,1.0,0.0
Walmart-Amazon,DITTO,1.0,0.09827322677322672,0.09818334666570262,0.025500673128702273,0.03119951534733441,0.13043882150668662,0.1383616383616384,0.9594924353343094,0.953125,0.9601507808292946,0.7810026385224275,0.6086956521739131,0.7921348314606742,0.035339256865912765,0.15574765796584888,0.15784215784215794,0.9629087359687653,0.9635416666666666,0.962843295638126,0.7790697674418605,0.631578947368421,0.7876923076923077,0.9379355011613365,0.9748869914615771,0.9358241758241758,0.03906281563740133
iTunes-Amazon,LogReg,1.0,0.0803693181818173,0.09249126940133019,0.07285020242914939,0.08670715249662617,0.0812084257206207,0.05681818181818177,0.9174311926605505,0.9230769230769231,0.9122807017543859,0.8363636363636363,0.8181818181818182,0.8484848484848485,0.03913630229419701,0.03977272727272729,0.03977272727272729,0.926605504587156,0.9423076923076923,0.9122807017543859,0.8260869565217391,0.8421052631578947,0.8148148148148148,0.9658988256549232,0.9356984478935699,0.9893292682926829,0.05363082039911293
DBLP-ACM,HierMatcher,0.0,0.008751031121109898,0.009424519964629561,0.04050101084895606,0.04830197569923597,0.0020057952248109245,0.005249343832021025,0.9943388596845936,1.0,0.9931203931203931,0.9844097995545658,1.0,0.9818652849740933,0.05023728585372422,0.03549858565140063,0.03187101612298471,0.9939344925192074,0.9931506849315068,0.9941031941031941,0.9830508474576272,0.975609756097561,0.984251968503937,0.9995537676661382,1.0,0.9994747482441357,0.0005252517558642644
DBLP-ACM,LinReg,0.964824120603015,0.005105611798525177,0.007341806881153392,0.04223856484130478,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.9800766143176197,0.9787301587301588,0.9802403780543151,0.0015102193241562922
Walmart-Amazon,SVM,0.04522613065326633,0.07643625192012282,0.08374352907025517,0.041938583335822587,0.03618139993427538,0.08455655651272848,0.08218125960061445,0.9516837481698389,0.9776536312849162,0.9491978609625669,0.6644067796610169,0.6,0.6666666666666666,0.03136856570967646,0.05529953917050695,0.05529953917050695,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6503496503496503,0.6,0.6521739130434783,0.8626245086653563,0.813953488372093,0.8618337036753251,0.047880215303232054
Amazon-Google,DeepMatcher,0.48743718592964824,0.10484459459459451,0.11272363282404911,0.05780064550847311,0.08257831222291795,0.05972287207254823,0.029279279279279202,0.9319668556476232,0.9812206572769953,0.920728441349759,0.6470588235294118,0.6363636363636364,0.6476190476190476,0.07799537808892275,0.44816807689148114,0.4256756756756757,0.9315307457479285,0.9741784037558685,0.9217996786288163,0.5922077922077922,0.15384615384615385,0.6075268817204301,0.8463095104668684,0.7932769726247988,0.8500670883649607,0.056790115740161906
DBLP-ACM,DeepMatcher,0.0,0.011118860142482237,0.00992407896775906,0.03848239148239138,0.04307046772800199,0.008328594959487345,0.01049868766404205,0.9947432268499797,0.997716894977169,0.9941031941031941,0.9854423292273237,0.9921259842519685,0.9843342036553525,0.03798256537982567,0.019705195858982005,0.01824771903512057,0.9931257581884351,0.9954337899543378,0.9926289926289926,0.9806157354618016,0.9841269841269841,0.9800266311584553,0.9993872630639511,0.9993650793650793,0.9993858838987327,2.0804533653384638e-05
Walmart-Amazon,DeepMatcher,1.0,0.15984615384615475,0.1659428002128985,0.037511224421109324,0.014051561658589118,0.05450920811686044,0.10289710289710297,0.9458272327964861,0.9114583333333334,0.9493807215939688,0.6908077994428969,0.41379310344827586,0.7151515151515152,0.048280156165858915,0.37300550196072585,0.3676323676323677,0.9511957052220595,0.953125,0.9509962304792676,0.6710526315789473,0.3076923076923077,0.6872852233676976,0.8333300763802038,0.7769964841788046,0.8364523536165327,0.05945586943772807
DBLP-GoogleScholar,HierMatcher,0.19597989949748745,0.03567398989898989,0.03513467695007932,0.044796771920160024,0.05654246607297181,0.05141614785922022,0.05618686868686873,0.9712643678160919,0.9609507640067911,0.9724432369493499,0.9259757738896366,0.863905325443787,0.9310679611650485,0.052607527156284264,0.04764168797648316,0.04949494949494948,0.9662138627655869,0.966044142614601,0.9662332621773724,0.9031936127744511,0.8648648648648649,0.90625,0.9959054138394571,0.9898821218074657,0.9964002261383957,0.00651810433093003
Beer,HierMatcher,0.005025125628140704,0.05244444444444461,0.10949444444444442,0.13533005464480893,0.2344262295081967,0.06468253968253967,0.15555555555555556,0.8571428571428571,0.9508196721311475,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.8461538461538461,0.9180327868852459,0.7,0.0,0.0,0.0,0.8218923933209648,0.9464285714285714,0.5767195767195767,0.36970899470899465
Amazon-Google,LinReg,0.964824120603015,0.017975917431192832,0.03355951364570395,0.031593545904218694,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.5962503580279199,0.59375,0.5950091164298325,0.001259116429832452
Amazon-Google,HierMatcher,1.0,0.08027477477477483,0.08346079717883607,0.05034106082666324,0.05062727732220855,0.029345732675982505,0.04054054054054057,0.9302224160488443,0.9389671361502347,0.9282271023031602,0.673469387755102,0.38095238095238093,0.7008928571428571,0.057436926504572876,0.2740272187080698,0.26126126126126126,0.9310946358482337,0.9765258215962441,0.920728441349759,0.5511363636363636,0.2857142857142857,0.5621301775147929,0.9392545962482826,0.9307568438003221,0.9394137298392616,0.008656886038939549
DBLP-ACM,SVM,0.0,0.01780477440319965,0.018660579020730053,0.03915992056813989,0.04755365577283385,0.009379386826949054,0.00037495313085866844,0.9636069551152446,0.9703196347031964,0.9621621621621622,0.9038461538461539,0.9022556390977443,0.9041095890410958,0.05815242390584857,0.11823824319420773,0.1146106736657918,0.9753336029114436,0.9680365296803652,0.9769041769041769,0.9272943980929678,0.875,0.9353507565337001,0.9937005758839175,0.9911957671957672,0.9941270188868472,0.0029312516910799946
iTunes-Amazon,SVM,1.0,0.1343068181818176,0.1525019401330354,0.07921929824561345,0.09008097165991902,0.1477272727272727,0.1477272727272727,0.9357798165137615,0.9230769230769231,0.9473684210526315,0.8627450980392157,0.8,0.9032258064516129,0.04082321187584345,0.011363636363636354,0.011363636363636354,0.908256880733945,0.9230769230769231,0.8947368421052632,0.7727272727272727,0.7777777777777778,0.7692307692307693,0.9679313459801264,0.9423503325942351,0.9939024390243901,0.051552106430155065
Fodors-Zagat,DITTO,0.0,0.06921052631579014,0.0693742732744276,0.022993006993007048,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,0.9997278170930866,1.0,0.9996158278908951,0.00038417210910490773
Fodors-Zagat,LinReg,0.0,0.0,0.0,0.037556390977443656,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DBLP-ACM,EMTransformer,0.0,0.005551681039869982,0.004638529891139679,0.04282638977707389,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.9994616351195946,0.999957671957672,0.999343038589342,0.0006146333683300087
DBLP-GoogleScholar,HierGAT,0.6180904522613065,0.016087121212121202,0.015425056393854754,0.038177093667229274,0.043829941316924526,0.00920957468827266,0.021212121212121238,0.9761407175200278,0.967741935483871,0.977100718028333,0.934916864608076,0.8834355828220859,0.9392378990731205,0.04906466538192762,0.024378120841834106,0.02297979797979799,0.9594218042493905,0.967741935483871,0.9584707937124005,0.879710893133712,0.8671328671328671,0.8807134894091416,0.9968383929714505,0.9945235756385069,0.9970849499074337,0.002561374268926775
iTunes-Amazon,DITTO,1.0,0.1893863636363649,0.21499611973392604,0.12454082321187598,0.12179487179487178,0.2062084257206208,0.18181818181818177,0.9357798165137615,0.9230769230769231,0.9473684210526315,0.8771929824561403,0.8181818181818182,0.9142857142857143,0.12685560053981104,0.3392461197339246,0.36363636363636365,0.9541284403669725,0.9038461538461539,1.0,0.9019607843137255,0.7368421052631579,1.0,0.9923215898825655,0.9800443458980044,1.0,0.019955654101995624
Amazon-Google,HierGAT,1.0,0.11584909909909934,0.12196013826036971,0.06655456646323227,0.056221097339257835,0.09032481007504134,0.09234234234234229,0.9380723942433493,0.9647887323943662,0.9319764327798608,0.6858407079646017,0.5454545454545454,0.6968973747016707,0.07939729072524776,0.427539089241217,0.40990990990990994,0.9419973833406018,0.9765258215962441,0.9341189073379753,0.6615776081424937,0.2857142857142857,0.6754617414248021,0.9491247514559802,0.8615136876006441,0.95262739943591,0.09111371183526595
Beer,DeepMatcher,0.628140703517588,0.0777333333333338,0.10947738095238099,0.1262704918032788,0.16885245901639342,0.18055555555555558,0.2222222222222222,0.9230769230769231,0.9508196721311475,0.8666666666666667,0.7741935483870968,0.7692307692307693,0.7777777777777778,0.0,0.0,0.0,0.8461538461538461,0.9180327868852459,0.7,0.0,0.0,0.0,0.9619666048237476,0.9714285714285714,0.9470899470899471,0.024338624338624326
Amazon-Google,EMTransformer,1.0,0.20062162162162106,0.22745776980892843,0.09246990351320716,0.09283427758121664,0.22946657507249557,0.20270270270270274,0.9472307021369385,0.9835680751173709,0.9389394750937332,0.7280898876404495,0.631578947368421,0.7323943661971831,0.09069180302310201,0.2192417605923619,0.1936936936936937,0.9472307021369385,0.9835680751173709,0.9389394750937332,0.7256235827664399,0.631578947368421,0.7298578199052133,0.8446397512691831,0.748792270531401,0.8476587529779018,0.09886648244650087
DBLP-ACM,LogReg,0.005025125628140704,0.013451193600799924,0.014981442232659238,0.04707172315528479,0.04830197569923597,0.01117199044194439,0.0053743282089738775,0.9919126566922766,0.9954337899543378,0.9911547911547911,0.977728285077951,0.9841269841269841,0.9766839378238342,0.050350599665668155,0.05853636493745418,0.05611798525184353,0.9842296805499393,0.9817351598173516,0.9847665847665847,0.9544924154025671,0.9322033898305084,0.9580514208389715,0.9989765517118893,0.9998730158730158,0.9988066787903024,0.00106633708271342
Beer,EMTransformer,1.0,0.0,0.15438095238094857,0.317471584699451,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.961038961038961,0.9821428571428572,0.9047619047619047,0.07738095238095255
iTunes-Amazon,HierMatcher,0.0,0.04223295454545468,0.0397129988913527,0.011171052631578957,0.036437246963562764,0.031042128603104402,0.09090909090909094,0.6330275229357798,0.5576923076923077,0.7017543859649122,0.5652173913043478,0.46511627906976744,0.6530612244897959,0.0,0.0,0.0,0.7522935779816514,0.7884615384615384,0.7192982456140351,0.0,0.0,0.0,0.8351400180668473,0.8314855875831485,0.8414634146341463,0.009977827050997812
iTunes-Amazon,LinReg,0.964824120603015,0.0863636363636378,0.0400221729490021,0.04743589743589737,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.9692863595302619,0.9301552106430155,1.0,0.06984478935698446
Beer,SVM,1.0,0.1226249999999995,0.18695403225806465,0.19364285714285662,0.17619047619047618,0.23602150537634403,0.25,0.9120879120879121,0.9,0.9523809523809523,0.75,0.631578947368421,0.9230769230769231,0.09999999999999999,0.125,0.125,0.9120879120879121,0.9285714285714286,0.8571428571428571,0.6,0.5454545454545454,0.6666666666666666,0.987012987012987,0.9778225806451613,1.0,0.022177419354838745
DBLP-GoogleScholar,EMTransformer,1.0,0.04330101010100967,0.03703895599634473,0.052785587507829836,0.05207706984607183,0.036851593777114555,0.0444444444444444,0.9801462904911181,0.9711375212224108,0.9811760139724433,0.9464285714285714,0.8944099378881988,0.9506863243518048,0.05392016189161736,0.03423983802894848,0.03838383838383841,0.9797979797979798,0.9745331069609507,0.980399767125946,0.9452313503305004,0.9056603773584906,0.9484430832057172,0.9696391707207783,0.943713163064833,0.971779044346904,0.028065881282070992
iTunes-Amazon,DeepMatcher,0.5376884422110553,0.07074431818181792,0.08182635809312669,0.06119399460188982,0.08839406207827258,0.11931818181818177,0.11931818181818177,0.9541284403669725,0.9423076923076923,0.9649122807017544,0.9056603773584906,0.8571428571428571,0.9375,0.045883940620782715,0.07386363636363635,0.07386363636363635,0.8532110091743119,0.8653846153846154,0.8421052631578947,0.5789473684210527,0.5333333333333333,0.6086956521739131,0.9819331526648599,0.9933481152993348,0.9695121951219512,0.023835920177383563
Beer,HierGAT,1.0,0.33140000000000175,0.4581142857142896,0.3330245901639355,0.35081967213114756,0.5428571428571428,0.4,0.945054945054945,0.9672131147540983,0.9,0.8275862068965517,0.75,0.8571428571428571,0.3005464480874317,0.6476190476190476,0.6,0.9560439560439561,0.9508196721311475,0.9666666666666667,0.8461538461538461,0.5714285714285714,0.9473684210526315,0.9874768089053803,1.0,0.9761904761904762,0.023809523809523836
Walmart-Amazon,LogReg,0.08040201005025126,0.07279569892473162,0.07322518237720244,0.03798083231261005,0.03671615929256415,0.08515038074075693,0.08218125960061445,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6621621621621622,0.6,0.6643356643356644,0.032972843784542766,0.07142857142857145,0.07142857142857145,0.9526598340653978,0.9776536312849162,0.9502673796791444,0.6643598615916955,0.6,0.6666666666666666,0.8895222887261034,0.9460132890365448,0.8860144816489157,0.05999880738762908
Fodors-Zagat,DeepMatcher,1.0,0.12770175438596587,0.13506014854654955,0.027729603729603855,0.03088578088578088,0.11867076450249714,0.1228070175438597,0.9470899470899471,0.9393939393939394,0.9487179487179487,0.7727272727272727,0.6666666666666666,0.7894736842105263,0.038461538461538464,0.3157894736842105,0.3157894736842105,0.9153439153439153,0.9090909090909091,0.9166666666666666,0.42857142857142855,0.0,0.48,0.9828524768644529,0.9777777777777777,0.9827122550902805,0.004934477312502739
Amazon-Google,LogReg,0.1658291457286432,0.05493463302752268,0.05563461352589744,0.04795990356209079,0.0485653163095521,0.0007718070484515893,0.02178899082568808,0.9158307893589185,0.9755102040816327,0.8996117581808097,0.4623955431754875,0.5,0.4597014925373134,0.004991680532445923,0.03732816253292044,0.03669724770642202,0.9010030527692978,0.9673469387755103,0.8829728230726567,0.06584362139917696,0.0,0.07048458149779736,0.8984964902886226,0.8970200421940928,0.8940873440801088,0.0029326981139840003
Fodors-Zagat,HierMatcher,0.949748743718593,0.0281578947368421,0.061756191573824906,0.02458391608391608,0.03613053613053613,0.11929824561403513,0.052631578947368474,0.9841269841269841,0.9393939393939394,0.9935897435897436,0.9333333333333333,0.75,0.972972972972973,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,0.9983669025585193,1.0,0.9988474836726854,0.0011525163273146122
DBLP-ACM,DITTO,0.0,0.014406699162604696,0.016488236033978244,0.03785238463868605,0.03541224911087926,0.025261784840377555,0.02099737532808399,0.9886777193691872,0.9885844748858448,0.9886977886977887,0.9688888888888889,0.9618320610687023,0.9700910273081924,0.040613465270999516,0.000920589883942835,0.002874640669916273,0.9894864536999596,0.9885844748858448,0.9896805896805897,0.9707207207207207,0.9606299212598425,0.9724047306176085,0.9987845164040334,0.9986031746031746,0.9988114393802346,0.00020826477706004098
